# Job running on    1 total cores
# File reading...  : WAVECAR                                                                    
# TOTAL RECORD LENGTH =    370576
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    440.0000
# NKPOINT          :     80
#  K-GRID          :      1   X   1
# NBANDS           :    336
# RECIVEC B1 (A^-1):      0.768801     0.000000     0.177393
# RECIVEC B2       :      0.000000     0.747589     0.000000
# RECIVEC B3       :      0.000000     0.000000     0.391481
#  dk^2 = |dk1xk2| =      0.589848
  
# OPTICAL SELECTIVITY BETWEEN BANDS:  238    -   243
# n(k,w_cv)= |P(k,s,cv,+)|^2 - |P(k,s,cv,-)|^2
#            ---------------------------------
#            |P(k,s,cv,+)|^2 + |P(k,s,cv,-)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,cv,+ or -) = 1/sqrt(2)[p_x(k,cv,s) +(or -) i*p_y(k,cv,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,cv,s)=<psi(k,c,s)|-i*hbar*1/dx(y)|psi(k,v,s>
# MAXVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.342105        0.000000        0.000000        0.985713
# MINVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.500000        0.157895        0.000000       -0.338830
# (cart) kx        ky        kz(A^-1)   selectivity(n(k)),        (recip)kx        ky        kz
   1.132969   0.747589   0.261421        0.612992               1.473684   1.000000   0.000000
   1.132969   0.373794   0.261421        0.520094               1.473684   0.500000   0.000000
   1.132969   0.000000   0.261421        0.612992               1.473684   0.000000   0.000000
   1.132969  -0.373794   0.261421        0.520094               1.473684  -0.500000   0.000000
   1.132969  -0.747589   0.261421        0.612992               1.473684  -1.000000   0.000000
   1.112738   1.121383   0.256753        0.827173               1.447368   1.500000   0.000000
   1.112738   0.747589   0.256753        0.660329               1.447368   1.000000   0.000000
   1.112738   0.373794   0.256753        0.827173               1.447368   0.500000   0.000000
   1.112738   0.000000   0.256753        0.660329               1.447368   0.000000   0.000000
   1.112738  -0.373794   0.256753        0.827173               1.447368  -0.500000   0.000000
   1.112738  -0.747589   0.256753        0.660329               1.447368  -1.000000   0.000000
   1.092506   1.121383   0.252084        0.734153               1.421053   1.500000   0.000000
   1.092506   0.747589   0.252084        0.746158               1.421053   1.000000   0.000000
   1.092506   0.373794   0.252084        0.734153               1.421053   0.500000   0.000000
   1.092506   0.000000   0.252084        0.746158               1.421053   0.000000   0.000000
   1.092506  -0.373794   0.252084        0.734153               1.421053  -0.500000   0.000000
   1.092506  -0.747589   0.252084        0.746158               1.421053  -1.000000   0.000000
   1.072275   1.121383   0.247416        0.529220               1.394737   1.500000   0.000000
   1.072275   0.747589   0.247416        0.836232               1.394737   1.000000   0.000000
   1.072275   0.373794   0.247416        0.529220               1.394737   0.500000   0.000000
