# Job running on    1 total cores
# File reading...  : WAVECAR                                                                    
# TOTAL RECORD LENGTH =    370576
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    440.0000
# NKPOINT          :     80
#  K-GRID          :      1   X   1
# NBANDS           :    336
# RECIVEC B1 (A^-1):      0.768801     0.000000     0.177393
# RECIVEC B2       :      0.000000     0.747589     0.000000
# RECIVEC B3       :      0.000000     0.000000     0.391481
#  dk^2 = |dk1xk2| =      0.589848
  
# OPTICAL SELECTIVITY BETWEEN BANDS:  240    -   245
# n(k,w_cv)= |P(k,s,cv,+)|^2 - |P(k,s,cv,-)|^2
#            ---------------------------------
#            |P(k,s,cv,+)|^2 + |P(k,s,cv,-)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,cv,+ or -) = 1/sqrt(2)[p_x(k,cv,s) +(or -) i*p_y(k,cv,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,cv,s)=<psi(k,c,s)|-i*hbar*1/dx(y)|psi(k,v,s>
# MAXVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.447368        0.000000        0.000000        0.995741
# MINVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.368421        0.000000        0.000000       -0.912286
# (cart) kx        ky        kz(A^-1)   selectivity(n(k)),        (recip)kx        ky        kz
   1.153201   1.121383   0.266089        0.014097               1.500000   1.500000   0.000000
   1.153201   1.121383   0.266089        0.014097               1.500000   1.500000   0.000000
   1.153201   1.101710   0.266089        0.036227               1.500000   1.473684   0.000000
   1.153201   1.082037   0.266089        0.032873               1.500000   1.447368   0.000000
   1.153201   1.062363   0.266089        0.032252               1.500000   1.421053   0.000000
   1.153201   1.042690   0.266089        0.033712               1.500000   1.394737   0.000000
   1.153201   1.023016   0.266089        0.037152               1.500000   1.368421   0.000000
   1.153201   1.003343   0.266089        0.042815               1.500000   1.342105   0.000000
   1.153201   0.983670   0.266089        0.051433               1.500000   1.315789   0.000000
   1.153201   0.963996   0.266089        0.065109               1.500000   1.289474   0.000000
   1.153201   0.944323   0.266089        0.091521               1.500000   1.263158   0.000000
   1.153201   0.924649   0.266089        0.175621               1.500000   1.236842   0.000000
   1.153201   0.904976   0.266089        0.979138               1.500000   1.210526   0.000000
   1.153201   0.885303   0.266089        0.331229               1.500000   1.184211   0.000000
   1.153201   0.865629   0.266089        0.159716               1.500000   1.157895   0.000000
   1.153201   0.845956   0.266089        0.066220               1.500000   1.131579   0.000000
   1.153201   0.826282   0.266089       -0.021120               1.500000   1.105263   0.000000
   1.153201   0.806609   0.266089       -0.135013               1.500000   1.078947   0.000000
   1.153201   0.786936   0.266089       -0.304131               1.500000   1.052632   0.000000
   1.153201   0.767262   0.266089       -0.414755               1.500000   1.026316   0.000000
   1.153201   0.747589   0.266089       -0.089213               1.500000   1.000000   0.000000
   1.153201   0.747589   0.266089       -0.089170               1.500000   1.000000   0.000000
   1.153201   0.373794   0.266089        0.014097               1.500000   0.500000   0.000000
   1.153201   0.373794   0.266089        0.014097               1.500000   0.500000   0.000000
   1.153201   0.354121   0.266089        0.036227               1.500000   0.473684   0.000000
   1.153201   0.334448   0.266089        0.032873               1.500000   0.447368   0.000000
   1.153201   0.314774   0.266089        0.032252               1.500000   0.421053   0.000000
   1.153201   0.295101   0.266089        0.033712               1.500000   0.394737   0.000000
   1.153201   0.275427   0.266089        0.037152               1.500000   0.368421   0.000000
   1.153201   0.255754   0.266089        0.042815               1.500000   0.342105   0.000000
   1.153201   0.236081   0.266089        0.051433               1.500000   0.315789   0.000000
   1.153201   0.216407   0.266089        0.065109               1.500000   0.289474   0.000000
   1.153201   0.196734   0.266089        0.091521               1.500000   0.263158   0.000000
   1.153201   0.177061   0.266089        0.175621               1.500000   0.236842   0.000000
   1.153201   0.157387   0.266089        0.979138               1.500000   0.210526   0.000000
   1.153201   0.137714   0.266089        0.331229               1.500000   0.184211   0.000000
   1.153201   0.118040   0.266089        0.159716               1.500000   0.157895   0.000000
   1.153201   0.098367   0.266089        0.066220               1.500000   0.131579   0.000000
   1.153201   0.078694   0.266089       -0.021120               1.500000   0.105263   0.000000
   1.153201   0.059020   0.266089       -0.135013               1.500000   0.078947   0.000000
   1.153201   0.039347   0.266089       -0.304131               1.500000   0.052632   0.000000
   1.153201   0.019673   0.266089       -0.414755               1.500000   0.026316   0.000000
   1.153201   0.000000   0.266089       -0.089213               1.500000   0.000000   0.000000
   1.153201   0.000000   0.266089       -0.089170               1.500000   0.000000   0.000000
   1.153201  -0.373794   0.266089        0.014097               1.500000  -0.500000   0.000000
   1.153201  -0.373794   0.266089        0.014097               1.500000  -0.500000   0.000000
   1.153201  -0.393468   0.266089        0.036227               1.500000  -0.526316   0.000000
   1.153201  -0.413141   0.266089        0.032873               1.500000  -0.552632   0.000000
   1.153201  -0.432815   0.266089        0.032252               1.500000  -0.578947   0.000000
   1.153201  -0.452488   0.266089        0.033712               1.500000  -0.605263   0.000000
   1.153201  -0.472161   0.266089        0.037152               1.500000  -0.631579   0.000000
   1.153201  -0.491835   0.266089        0.042815               1.500000  -0.657895   0.000000
   1.153201  -0.511508   0.266089        0.051433               1.500000  -0.684211   0.000000
   1.153201  -0.531182   0.266089        0.065109               1.500000  -0.710526   0.000000
   1.153201  -0.550855   0.266089        0.091521               1.500000  -0.736842   0.000000
   1.153201  -0.570528   0.266089        0.175621               1.500000  -0.763158   0.000000
   1.153201  -0.590202   0.266089        0.979138               1.500000  -0.789474   0.000000
   1.153201  -0.609875   0.266089        0.331229               1.500000  -0.815789   0.000000
   1.153201  -0.629549   0.266089        0.159716               1.500000  -0.842105   0.000000
   1.153201  -0.649222   0.266089        0.066220               1.500000  -0.868421   0.000000
   1.153201  -0.668895   0.266089       -0.021120               1.500000  -0.894737   0.000000
   1.153201  -0.688569   0.266089       -0.135013               1.500000  -0.921053   0.000000
   1.153201  -0.708242   0.266089       -0.304131               1.500000  -0.947368   0.000000
   1.153201  -0.727915   0.266089       -0.414755               1.500000  -0.973684   0.000000
   1.153201  -0.747589   0.266089       -0.089213               1.500000  -1.000000   0.000000
   1.153201  -0.747589   0.266089       -0.089170               1.500000  -1.000000   0.000000
   1.132969   1.121383   0.261421        0.052690               1.473684   1.500000   0.000000
   1.132969   0.747589   0.261421        0.964721               1.473684   1.000000   0.000000
   1.132969   0.373794   0.261421        0.052690               1.473684   0.500000   0.000000
   1.132969   0.000000   0.261421        0.964721               1.473684   0.000000   0.000000
   1.132969  -0.373794   0.261421        0.052690               1.473684  -0.500000   0.000000
   1.132969  -0.747589   0.261421        0.964721               1.473684  -1.000000   0.000000
   1.112738   1.121383   0.256753        0.086521               1.447368   1.500000   0.000000
   1.112738   0.747589   0.256753        0.995741               1.447368   1.000000   0.000000
   1.112738   0.373794   0.256753        0.086521               1.447368   0.500000   0.000000
   1.112738   0.000000   0.256753        0.995741               1.447368   0.000000   0.000000
   1.112738  -0.373794   0.256753        0.086521               1.447368  -0.500000   0.000000
   1.112738  -0.747589   0.256753        0.995741               1.447368  -1.000000   0.000000
   1.092506   1.121383   0.252084        0.105698               1.421053   1.500000   0.000000
   1.092506   0.747589   0.252084        0.964800               1.421053   1.000000   0.000000
   1.092506   0.373794   0.252084        0.105698               1.421053   0.500000   0.000000
   1.092506   0.000000   0.252084        0.964800               1.421053   0.000000   0.000000
   1.092506  -0.373794   0.252084        0.105698               1.421053  -0.500000   0.000000
   1.092506  -0.747589   0.252084        0.964800               1.421053  -1.000000   0.000000
   1.072275   1.121383   0.247416        0.095506               1.394737   1.500000   0.000000
   1.072275   0.747589   0.247416        0.348277               1.394737   1.000000   0.000000
   1.072275   0.373794   0.247416        0.095506               1.394737   0.500000   0.000000
   1.072275   0.000000   0.247416        0.348277               1.394737   0.000000   0.000000
   1.072275  -0.373794   0.247416        0.095506               1.394737  -0.500000   0.000000
   1.072275  -0.747589   0.247416        0.348277               1.394737  -1.000000   0.000000
   1.052043   1.121383   0.242748        0.049018               1.368421   1.500000   0.000000
   1.052043   0.747589   0.242748       -0.912286               1.368421   1.000000   0.000000
   1.052043   0.373794   0.242748        0.049018               1.368421   0.500000   0.000000
   1.052043   0.000000   0.242748       -0.912286               1.368421   0.000000   0.000000
   1.052043  -0.373794   0.242748        0.049018               1.368421  -0.500000   0.000000
   1.052043  -0.747589   0.242748       -0.912286               1.368421  -1.000000   0.000000
   1.031811   1.121383   0.238080       -0.020777               1.342105   1.500000   0.000000
   1.031811   0.747589   0.238080        0.182935               1.342105   1.000000   0.000000
   1.031811   0.373794   0.238080       -0.020777               1.342105   0.500000   0.000000
   1.031811   0.000000   0.238080        0.182935               1.342105   0.000000   0.000000
   1.031811  -0.373794   0.238080       -0.020777               1.342105  -0.500000   0.000000
   1.031811  -0.747589   0.238080        0.182935               1.342105  -1.000000   0.000000
   1.011580   1.121383   0.233411       -0.092447               1.315789   1.500000   0.000000
   1.011580   0.747589   0.233411        0.948417               1.315789   1.000000   0.000000
   1.011580   0.373794   0.233411       -0.092447               1.315789   0.500000   0.000000
   1.011580   0.000000   0.233411        0.948417               1.315789   0.000000   0.000000
   1.011580  -0.373794   0.233411       -0.092447               1.315789  -0.500000   0.000000
   1.011580  -0.747589   0.233411        0.948417               1.315789  -1.000000   0.000000
   0.991348   1.121383   0.228743       -0.151698               1.289474   1.500000   0.000000
   0.991348   0.747589   0.228743        0.656664               1.289474   1.000000   0.000000
   0.991348   0.373794   0.228743       -0.151698               1.289474   0.500000   0.000000
   0.991348   0.000000   0.228743        0.656664               1.289474   0.000000   0.000000
   0.991348  -0.373794   0.228743       -0.151698               1.289474  -0.500000   0.000000
   0.991348  -0.747589   0.228743        0.656664               1.289474  -1.000000   0.000000
   0.971117   1.121383   0.224075       -0.193362               1.263158   1.500000   0.000000
   0.971117   0.373794   0.224075       -0.193362               1.263158   0.500000   0.000000
   0.971117  -0.373794   0.224075       -0.193362               1.263158  -0.500000   0.000000
   0.971117   0.747589   0.224075       -0.497119               1.263158   1.000000   0.000000
   0.971117   0.000000   0.224075       -0.497119               1.263158   0.000000   0.000000
   0.971117  -0.747589   0.224075       -0.497119               1.263158  -1.000000   0.000000
   0.950885   1.121383   0.219407       -0.217369               1.236842   1.500000   0.000000
   0.950885   0.747589   0.219407        0.143585               1.236842   1.000000   0.000000
   0.950885   0.373794   0.219407       -0.217369               1.236842   0.500000   0.000000
   0.950885   0.000000   0.219407        0.143585               1.236842   0.000000   0.000000
   0.950885  -0.373794   0.219407       -0.217369               1.236842  -0.500000   0.000000
   0.950885  -0.747589   0.219407        0.143585               1.236842  -1.000000   0.000000
   0.930653   1.121383   0.214738       -0.224782               1.210526   1.500000   0.000000
   0.930653   0.747589   0.214738       -0.195391               1.210526   1.000000   0.000000
   0.930653   0.373794   0.214738       -0.224782               1.210526   0.500000   0.000000
   0.930653   0.000000   0.214738       -0.195391               1.210526   0.000000   0.000000
   0.930653  -0.373794   0.214738       -0.224782               1.210526  -0.500000   0.000000
   0.930653  -0.747589   0.214738       -0.195391               1.210526  -1.000000   0.000000
   0.910422   1.121383   0.210070       -0.217514               1.184211   1.500000   0.000000
   0.910422   0.747589   0.210070       -0.230567               1.184211   1.000000   0.000000
   0.910422   0.373794   0.210070       -0.217514               1.184211   0.500000   0.000000
   0.910422   0.000000   0.210070       -0.230567               1.184211   0.000000   0.000000
   0.910422  -0.373794   0.210070       -0.217514               1.184211  -0.500000   0.000000
   0.910422  -0.747589   0.210070       -0.230567               1.184211  -1.000000   0.000000
   0.890190   1.121383   0.205402       -0.195488               1.157895   1.500000   0.000000
   0.890190   0.747589   0.205402       -0.143567               1.157895   1.000000   0.000000
   0.890190   0.373794   0.205402       -0.195488               1.157895   0.500000   0.000000
   0.890190   0.000000   0.205402       -0.143567               1.157895   0.000000   0.000000
   0.890190  -0.373794   0.205402       -0.195488               1.157895  -0.500000   0.000000
   0.890190  -0.747589   0.205402       -0.143567               1.157895  -1.000000   0.000000
   0.869959   1.121383   0.200734       -0.156451               1.131579   1.500000   0.000000
   0.869959   0.747589   0.200734        0.545692               1.131579   1.000000   0.000000
   0.869959   0.373794   0.200734       -0.156451               1.131579   0.500000   0.000000
   0.869959   0.000000   0.200734        0.545692               1.131579   0.000000   0.000000
   0.869959  -0.373794   0.200734       -0.156451               1.131579  -0.500000   0.000000
   0.869959  -0.747589   0.200734        0.545692               1.131579  -1.000000   0.000000
   0.849727   1.121383   0.196066       -0.093145               1.105263   1.500000   0.000000
   0.849727   0.747589   0.196066       -0.343193               1.105263   1.000000   0.000000
   0.849727   0.373794   0.196066       -0.093145               1.105263   0.500000   0.000000
   0.849727   0.000000   0.196066       -0.343193               1.105263   0.000000   0.000000
   0.849727  -0.373794   0.196066       -0.093145               1.105263  -0.500000   0.000000
   0.849727  -0.747589   0.196066       -0.343193               1.105263  -1.000000   0.000000
   0.829495   1.121383   0.191397        0.008882               1.078947   1.500000   0.000000
   0.829495   0.373794   0.191397        0.008882               1.078947   0.500000   0.000000
   0.829495  -0.373794   0.191397        0.008882               1.078947  -0.500000   0.000000
   0.829495   0.747589   0.191397       -0.512586               1.078947   1.000000   0.000000
   0.829495   0.000000   0.191397       -0.512586               1.078947   0.000000   0.000000
   0.829495  -0.747589   0.191397       -0.512586               1.078947  -1.000000   0.000000
   0.809264   1.121383   0.186729        0.178284               1.052632   1.500000   0.000000
   0.809264   0.747589   0.186729       -0.570532               1.052632   1.000000   0.000000
   0.809264   0.373794   0.186729        0.178284               1.052632   0.500000   0.000000
   0.809264   0.000000   0.186729       -0.570532               1.052632   0.000000   0.000000
   0.809264  -0.373794   0.186729        0.178284               1.052632  -0.500000   0.000000
   0.809264  -0.747589   0.186729       -0.570532               1.052632  -1.000000   0.000000
   0.789032   1.121383   0.182061        0.488917               1.026316   1.500000   0.000000
   0.789032   0.747589   0.182061       -0.737665               1.026316   1.000000   0.000000
   0.789032   0.373794   0.182061        0.488917               1.026316   0.500000   0.000000
   0.789032   0.000000   0.182061       -0.737665               1.026316   0.000000   0.000000
   0.789032  -0.373794   0.182061        0.488917               1.026316  -0.500000   0.000000
   0.789032  -0.747589   0.182061       -0.737665               1.026316  -1.000000   0.000000
   0.768801   1.121383   0.177393        0.026053               1.000000   1.500000   0.000000
   0.768801   1.121383   0.177393        0.026235               1.000000   1.500000   0.000000
   0.768801   1.101710   0.177393        0.042041               1.000000   1.473684   0.000000
   0.768801   1.082037   0.177393        0.031973               1.000000   1.447368   0.000000
   0.768801   1.062363   0.177393        0.024495               1.000000   1.421053   0.000000
   0.768801   1.042690   0.177393        0.021686               1.000000   1.394737   0.000000
   0.768801   1.023016   0.177393        0.462680               1.000000   1.368421   0.000000
   0.768801   1.003343   0.177393       -0.007532               1.000000   1.342105   0.000000
   0.768801   0.983670   0.177393       -0.088153               1.000000   1.315789   0.000000
   0.768801   0.963996   0.177393       -0.081990               1.000000   1.289474   0.000000
   0.768801   0.944323   0.177393       -0.067039               1.000000   1.263158   0.000000
   0.768801   0.924649   0.177393       -0.041970               1.000000   1.236842   0.000000
   0.768801   0.904976   0.177393       -0.118290               1.000000   1.210526   0.000000
   0.768801   0.885303   0.177393       -0.146822               1.000000   1.184211   0.000000
   0.768801   0.865629   0.177393       -0.190745               1.000000   1.157895   0.000000
   0.768801   0.845956   0.177393       -0.256351               1.000000   1.131579   0.000000
   0.768801   0.826282   0.177393       -0.359734               1.000000   1.105263   0.000000
   0.768801   0.806609   0.177393       -0.518420               1.000000   1.078947   0.000000
   0.768801   0.786936   0.177393       -0.657459               1.000000   1.052632   0.000000
   0.768801   0.767262   0.177393       -0.500246               1.000000   1.026316   0.000000
   0.768801   0.747589   0.177393       -0.639258               1.000000   1.000000   0.000000
   0.768801   0.747589   0.177393       -0.639258               1.000000   1.000000   0.000000
