# Job running on    1 total cores
# File reading...  : WAVECAR                                                                    
# TOTAL RECORD LENGTH =    370576
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    440.0000
# NKPOINT          :     80
#  K-GRID          :      1   X   1
# NBANDS           :    336
# RECIVEC B1 (A^-1):      0.768801     0.000000     0.177393
# RECIVEC B2       :      0.000000     0.747589     0.000000
# RECIVEC B3       :      0.000000     0.000000     0.391481
#  dk^2 = |dk1xk2| =      0.589848
  
# OPTICAL SELECTIVITY BETWEEN BANDS:  237    -   243
# n(k,w_cv)= |P(k,s,cv,+)|^2 - |P(k,s,cv,-)|^2
#            ---------------------------------
#            |P(k,s,cv,+)|^2 + |P(k,s,cv,-)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,cv,+ or -) = 1/sqrt(2)[p_x(k,cv,s) +(or -) i*p_y(k,cv,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,cv,s)=<psi(k,c,s)|-i*hbar*1/dx(y)|psi(k,v,s>
# MAXVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.000000        0.052632        0.000000        0.993847
# MINVAL of SELECTIVITY at kx,ky,kz (in reci)=         0.315789        0.000000        0.000000       -0.944427
# (cart) kx        ky        kz(A^-1)   selectivity(n(k)),        (recip)kx        ky        kz
   1.153201   1.121383   0.266089        0.001705               1.500000   1.500000   0.000000
   1.153201   1.121383   0.266089        0.001705               1.500000   1.500000   0.000000
   1.153201   1.101710   0.266089        0.013726               1.500000   1.473684   0.000000
   1.153201   1.082037   0.266089        0.014840               1.500000   1.447368   0.000000
   1.153201   1.062363   0.266089        0.017053               1.500000   1.421053   0.000000
   1.153201   1.042690   0.266089        0.020318               1.500000   1.394737   0.000000
   1.153201   1.023016   0.266089        0.024940               1.500000   1.368421   0.000000
   1.153201   1.003343   0.266089        0.031504               1.500000   1.342105   0.000000
   1.153201   0.983670   0.266089        0.041043               1.500000   1.315789   0.000000
   1.153201   0.963996   0.266089        0.055358               1.500000   1.289474   0.000000
   1.153201   0.944323   0.266089        0.077705               1.500000   1.263158   0.000000
   1.153201   0.924649   0.266089        0.114058               1.500000   1.236842   0.000000
   1.153201   0.904976   0.266089        0.175648               1.500000   1.210526   0.000000
   1.153201   0.885303   0.266089        0.278356               1.500000   1.184211   0.000000
   1.153201   0.865629   0.266089        0.382488               1.500000   1.157895   0.000000
   1.153201   0.845956   0.266089        0.221643               1.500000   1.131579   0.000000
   1.153201   0.826282   0.266089       -0.040942               1.500000   1.105263   0.000000
   1.153201   0.806609   0.266089       -0.227997               1.500000   1.078947   0.000000
   1.153201   0.786936   0.266089       -0.374082               1.500000   1.052632   0.000000
   1.153201   0.767262   0.266089       -0.425783               1.500000   1.026316   0.000000
   1.153201   0.747589   0.266089        0.636719               1.500000   1.000000   0.000000
   1.153201   0.747589   0.266089        0.636720               1.500000   1.000000   0.000000
   1.153201   0.373794   0.266089        0.001705               1.500000   0.500000   0.000000
   1.153201   0.373794   0.266089        0.001705               1.500000   0.500000   0.000000
   1.153201   0.354121   0.266089        0.013726               1.500000   0.473684   0.000000
   1.153201   0.334448   0.266089        0.014840               1.500000   0.447368   0.000000
   1.153201   0.314774   0.266089        0.017053               1.500000   0.421053   0.000000
   1.153201   0.295101   0.266089        0.020318               1.500000   0.394737   0.000000
   1.153201   0.275427   0.266089        0.024940               1.500000   0.368421   0.000000
   1.153201   0.255754   0.266089        0.031504               1.500000   0.342105   0.000000
   1.153201   0.236081   0.266089        0.041043               1.500000   0.315789   0.000000
   1.153201   0.216407   0.266089        0.055358               1.500000   0.289474   0.000000
   1.153201   0.196734   0.266089        0.077705               1.500000   0.263158   0.000000
   1.153201   0.177061   0.266089        0.114058               1.500000   0.236842   0.000000
   1.153201   0.157387   0.266089        0.175648               1.500000   0.210526   0.000000
   1.153201   0.137714   0.266089        0.278356               1.500000   0.184211   0.000000
   1.153201   0.118040   0.266089        0.382488               1.500000   0.157895   0.000000
   1.153201   0.098367   0.266089        0.221643               1.500000   0.131579   0.000000
   1.153201   0.078694   0.266089       -0.040942               1.500000   0.105263   0.000000
   1.153201   0.059020   0.266089       -0.227997               1.500000   0.078947   0.000000
   1.153201   0.039347   0.266089       -0.374082               1.500000   0.052632   0.000000
   1.153201   0.019673   0.266089       -0.425783               1.500000   0.026316   0.000000
   1.153201   0.000000   0.266089        0.636719               1.500000   0.000000   0.000000
   1.153201   0.000000   0.266089        0.636720               1.500000   0.000000   0.000000
   1.153201  -0.373794   0.266089        0.001705               1.500000  -0.500000   0.000000
   1.153201  -0.373794   0.266089        0.001705               1.500000  -0.500000   0.000000
   1.153201  -0.393468   0.266089        0.013726               1.500000  -0.526316   0.000000
   1.153201  -0.413141   0.266089        0.014840               1.500000  -0.552632   0.000000
   1.153201  -0.432815   0.266089        0.017053               1.500000  -0.578947   0.000000
   1.153201  -0.452488   0.266089        0.020318               1.500000  -0.605263   0.000000
   1.153201  -0.472161   0.266089        0.024940               1.500000  -0.631579   0.000000
   1.153201  -0.491835   0.266089        0.031504               1.500000  -0.657895   0.000000
   1.153201  -0.511508   0.266089        0.041043               1.500000  -0.684211   0.000000
   1.153201  -0.531182   0.266089        0.055358               1.500000  -0.710526   0.000000
   1.153201  -0.550855   0.266089        0.077705               1.500000  -0.736842   0.000000
   1.153201  -0.570528   0.266089        0.114058               1.500000  -0.763158   0.000000
   1.153201  -0.590202   0.266089        0.175648               1.500000  -0.789474   0.000000
   1.153201  -0.609875   0.266089        0.278356               1.500000  -0.815789   0.000000
   1.153201  -0.629549   0.266089        0.382488               1.500000  -0.842105   0.000000
   1.153201  -0.649222   0.266089        0.221643               1.500000  -0.868421   0.000000
   1.153201  -0.668895   0.266089       -0.040942               1.500000  -0.894737   0.000000
   1.153201  -0.688569   0.266089       -0.227997               1.500000  -0.921053   0.000000
   1.153201  -0.708242   0.266089       -0.374082               1.500000  -0.947368   0.000000
   1.153201  -0.727915   0.266089       -0.425783               1.500000  -0.973684   0.000000
   1.153201  -0.747589   0.266089        0.636719               1.500000  -1.000000   0.000000
   1.153201  -0.747589   0.266089        0.636720               1.500000  -1.000000   0.000000
   1.132969   1.121383   0.261421        0.065672               1.473684   1.500000   0.000000
   1.132969   0.747589   0.261421       -0.694623               1.473684   1.000000   0.000000
   1.132969   0.373794   0.261421        0.065672               1.473684   0.500000   0.000000
   1.132969   0.000000   0.261421       -0.694623               1.473684   0.000000   0.000000
   1.132969  -0.373794   0.261421        0.065672               1.473684  -0.500000   0.000000
   1.132969  -0.747589   0.261421       -0.694623               1.473684  -1.000000   0.000000
   1.112738   1.121383   0.256753        0.132353               1.447368   1.500000   0.000000
   1.112738   0.747589   0.256753       -0.670797               1.447368   1.000000   0.000000
   1.112738   0.373794   0.256753        0.132353               1.447368   0.500000   0.000000
   1.112738   0.000000   0.256753       -0.670797               1.447368   0.000000   0.000000
   1.112738  -0.373794   0.256753        0.132353               1.447368  -0.500000   0.000000
   1.112738  -0.747589   0.256753       -0.670797               1.447368  -1.000000   0.000000
   1.092506   1.121383   0.252084        0.203836               1.421053   1.500000   0.000000
   1.092506   0.747589   0.252084       -0.652583               1.421053   1.000000   0.000000
   1.092506   0.373794   0.252084        0.203836               1.421053   0.500000   0.000000
   1.092506   0.000000   0.252084       -0.652583               1.421053   0.000000   0.000000
   1.092506  -0.373794   0.252084        0.203836               1.421053  -0.500000   0.000000
   1.092506  -0.747589   0.252084       -0.652583               1.421053  -1.000000   0.000000
   1.072275   1.121383   0.247416        0.278617               1.394737   1.500000   0.000000
   1.072275   0.747589   0.247416       -0.633409               1.394737   1.000000   0.000000
   1.072275   0.373794   0.247416        0.278617               1.394737   0.500000   0.000000
   1.072275   0.000000   0.247416       -0.633409               1.394737   0.000000   0.000000
   1.072275  -0.373794   0.247416        0.278617               1.394737  -0.500000   0.000000
   1.072275  -0.747589   0.247416       -0.633409               1.394737  -1.000000   0.000000
   1.052043   1.121383   0.242748        0.348170               1.368421   1.500000   0.000000
   1.052043   0.747589   0.242748       -0.628491               1.368421   1.000000   0.000000
